# Golden traces generated by tools/oracle/gen-golden.sh
# Oracle: WinMIPS64 v1.60 (third_party/winmips64-andoni, commit 322bb665ab6d42e5a6b4e57f61ab01b56ad7eeab)
# Columns: trace | program | flags (always plus --max 5000) | input file | assembled | cycles instructions
# Traces are gzip -9 -n; the content is the stdout of: oracle <program> <flags> --max 5000 [--input <file>]
bgcd.default.trace.gz | bgcd.s | (none) | - | ok | 5000 3995
fifth.lat.trace.gz | fifth.s | --add 2 --mul 3 --div 10 | - | ok | 21 13
first.default.trace.gz | first.s | (none) | - | ok | 5000 3844
first.nofwd.trace.gz | first.s | --forwarding 0 | - | ok | 5000 2630
first.ds.trace.gz | first.s | --delayslot 1 | - | ok | 5000 4228
first.btb.trace.gz | first.s | --btb 1 | - | ok | 5000 4162
first.lat.trace.gz | first.s | --add 2 --mul 3 --div 10 | - | ok | 5000 3844
fourth.default.trace.gz | fourth.s | (none) | - | ok | 22 16
fourth.nofwd.trace.gz | fourth.s | --forwarding 0 | - | ok | 22 16
fourth.ds.trace.gz | fourth.s | --delayslot 1 | - | ok | 22 16
fourth.btb.trace.gz | fourth.s | --btb 1 | - | ok | 22 16
fourth.lat.trace.gz | fourth.s | --add 2 --mul 3 --div 10 | - | ok | 21 16
gcd.default.trace.gz | gcd.s | (none) | - | ok | 5000 3132
gcd.nofwd.trace.gz | gcd.s | --forwarding 0 | - | ok | 5000 2784
gcd.ds.trace.gz | gcd.s | --delayslot 1 | - | ok | 48 33
gcd.btb.trace.gz | gcd.s | --btb 1 | - | ok | 5000 4157
gcd.lat.trace.gz | gcd.s | --add 2 --mul 3 --div 10 | - | ok | 5000 3132
hail.default.trace.gz | hail.s | (none) | - | ok | 1794 1028
hail.nofwd.trace.gz | hail.s | --forwarding 0 | - | ok | 2403 1028
hail.ds.trace.gz | hail.s | --delayslot 1 | - | ok | 24 15
hail.btb.trace.gz | hail.s | --btb 1 | - | ok | 1703 1028
hail.lat.trace.gz | hail.s | --add 2 --mul 3 --div 10 | - | ok | 1794 1028
ilp.default.trace.gz | ilp.s | (none) | - | ok | 83 60
ilp.nofwd.trace.gz | ilp.s | --forwarding 0 | - | ok | 87 60
ilp.ds.trace.gz | ilp.s | --delayslot 1 | - | ok | 26 18
ilp.btb.trace.gz | ilp.s | --btb 1 | - | ok | 84 60
ilp.lat.trace.gz | ilp.s | --add 2 --mul 3 --div 10 | - | ok | 75 60
isort.default.trace.gz | isort.s | (none) | - | ok | 1467 1010
isort.nofwd.trace.gz | isort.s | --forwarding 0 | - | ok | 2021 1010
isort.ds.trace.gz | isort.s | --delayslot 1 | - | ok | 27 18
isort.btb.trace.gz | isort.s | --btb 1 | - | ok | 1411 1010
isort.lat.trace.gz | isort.s | --add 2 --mul 3 --div 10 | - | ok | 1467 1010
loop.default.trace.gz | loop.s | (none) | - | ok | 5000 2498
loop.nofwd.trace.gz | loop.s | --forwarding 0 | - | ok | 5000 2498
loop.ds.trace.gz | loop.s | --delayslot 1 | - | ok | 6 2
loop.btb.trace.gz | loop.s | --btb 1 | - | ok | 5000 4994
loop.lat.trace.gz | loop.s | --add 2 --mul 3 --div 10 | - | ok | 5000 2498
mhail.default.trace.gz | mhail.s | (none) | - | ok | 1794 1028
mhail.nofwd.trace.gz | mhail.s | --forwarding 0 | - | ok | 2403 1028
mhail.ds.trace.gz | mhail.s | --delayslot 1 | - | ok | 24 15
mhail.btb.trace.gz | mhail.s | --btb 1 | - | ok | 1703 1028
mhail.lat.trace.gz | mhail.s | --add 2 --mul 3 --div 10 | - | ok | 1794 1028
mult.default.trace.gz | mult.s | (none) | - | ok | 980 911
mult.nofwd.trace.gz | mult.s | --forwarding 0 | - | ok | 1748 911
mult.ds.trace.gz | mult.s | --delayslot 1 | - | ok | 980 976
mult.btb.trace.gz | mult.s | --btb 1 | - | ok | 921 911
mult.lat.trace.gz | mult.s | --add 2 --mul 3 --div 10 | - | ok | 980 911
multi.default.trace.gz | multi.s | (none) | - | ok | 395 228
multi.nofwd.trace.gz | multi.s | --forwarding 0 | - | ok | 629 228
multi.ds.trace.gz | multi.s | --delayslot 1 | - | ok | 107 66
multi.btb.trace.gz | multi.s | --btb 1 | - | ok | 400 228
multi.lat.trace.gz | multi.s | --add 2 --mul 3 --div 10 | - | ok | 331 228
q2.default.trace.gz | q2.s | (none) | - | err | -
q2.nofwd.trace.gz | q2.s | --forwarding 0 | - | err | -
q2.ds.trace.gz | q2.s | --delayslot 1 | - | err | -
q2.btb.trace.gz | q2.s | --btb 1 | - | err | -
q2.lat.trace.gz | q2.s | --add 2 --mul 3 --div 10 | - | err | -
second.default.trace.gz | second.s | (none) | - | ok | 12 8
second.nofwd.trace.gz | second.s | --forwarding 0 | - | ok | 14 8
second.ds.trace.gz | second.s | --delayslot 1 | - | ok | 12 8
second.btb.trace.gz | second.s | --btb 1 | - | ok | 12 8
second.lat.trace.gz | second.s | --add 2 --mul 3 --div 10 | - | ok | 12 8
ser2.default.trace.gz | ser2.s | (none) | - | err | -
ser2.nofwd.trace.gz | ser2.s | --forwarding 0 | - | err | -
ser2.ds.trace.gz | ser2.s | --delayslot 1 | - | err | -
ser2.btb.trace.gz | ser2.s | --btb 1 | - | err | -
ser2.lat.trace.gz | ser2.s | --add 2 --mul 3 --div 10 | - | err | -
series.default.trace.gz | series.s | (none) | - | err | -
series.nofwd.trace.gz | series.s | --forwarding 0 | - | err | -
series.ds.trace.gz | series.s | --delayslot 1 | - | err | -
series.btb.trace.gz | series.s | --btb 1 | - | err | -
series.lat.trace.gz | series.s | --add 2 --mul 3 --div 10 | - | err | -
seven.default.trace.gz | seven.s | (none) | - | ok | 15 9
seven.nofwd.trace.gz | seven.s | --forwarding 0 | - | ok | 15 9
seven.ds.trace.gz | seven.s | --delayslot 1 | - | ok | 15 9
seven.btb.trace.gz | seven.s | --btb 1 | - | ok | 15 9
seven.lat.trace.gz | seven.s | --add 2 --mul 3 --div 10 | - | ok | 15 9
simple.default.trace.gz | simple.s | (none) | - | ok | 9 5
simple.nofwd.trace.gz | simple.s | --forwarding 0 | - | ok | 9 5
simple.ds.trace.gz | simple.s | --delayslot 1 | - | ok | 9 5
simple.btb.trace.gz | simple.s | --btb 1 | - | ok | 9 5
simple.lat.trace.gz | simple.s | --add 2 --mul 3 --div 10 | - | ok | 9 5
sixth.default.trace.gz | sixth.s | (none) | - | ok | 14 10
sixth.nofwd.trace.gz | sixth.s | --forwarding 0 | - | ok | 20 10
sixth.ds.trace.gz | sixth.s | --delayslot 1 | - | ok | 14 10
sixth.btb.trace.gz | sixth.s | --btb 1 | - | ok | 14 10
sixth.lat.trace.gz | sixth.s | --add 2 --mul 3 --div 10 | - | ok | 14 10
ssort.default.trace.gz | ssort.s | (none) | - | ok | 1679 1406
ssort.nofwd.trace.gz | ssort.s | --forwarding 0 | - | ok | 2423 1406
ssort.ds.trace.gz | ssort.s | --delayslot 1 | - | ok | 292 265
ssort.btb.trace.gz | ssort.s | --btb 1 | - | ok | 1596 1406
ssort.lat.trace.gz | ssort.s | --add 2 --mul 3 --div 10 | - | ok | 1679 1406
stall.default.trace.gz | stall.s | (none) | - | ok | 13 5
stall.nofwd.trace.gz | stall.s | --forwarding 0 | - | ok | 14 5
stall.ds.trace.gz | stall.s | --delayslot 1 | - | ok | 13 6
stall.btb.trace.gz | stall.s | --btb 1 | - | ok | 14 5
stall.lat.trace.gz | stall.s | --add 2 --mul 3 --div 10 | - | ok | 13 5
stephen.default.trace.gz | stephen.s | (none) | - | ok | 209 138
stephen.nofwd.trace.gz | stephen.s | --forwarding 0 | - | ok | 245 138
stephen.ds.trace.gz | stephen.s | --delayslot 1 | - | ok | 5000 4247
stephen.btb.trace.gz | stephen.s | --btb 1 | - | ok | 217 138
stephen.lat.trace.gz | stephen.s | --add 2 --mul 3 --div 10 | - | ok | 209 138
test.default.trace.gz | test.s | (none) | - | ok | 42 7
test.nofwd.trace.gz | test.s | --forwarding 0 | - | ok | 48 7
test.ds.trace.gz | test.s | --delayslot 1 | - | ok | 42 7
test.btb.trace.gz | test.s | --btb 1 | - | ok | 42 7
test.lat.trace.gz | test.s | --add 2 --mul 3 --div 10 | - | ok | 22 7
test1.default.trace.gz | test1.s | (none) | - | ok | 43 8
test1.nofwd.trace.gz | test1.s | --forwarding 0 | - | ok | 43 8
test1.ds.trace.gz | test1.s | --delayslot 1 | - | ok | 8 4
test1.btb.trace.gz | test1.s | --btb 1 | - | ok | 43 8
test1.lat.trace.gz | test1.s | --add 2 --mul 3 --div 10 | - | ok | 24 8
test2.default.trace.gz | test2.s | (none) | - | ok | 19 5
test2.nofwd.trace.gz | test2.s | --forwarding 0 | - | ok | 24 5
test2.ds.trace.gz | test2.s | --delayslot 1 | - | ok | 19 5
test2.btb.trace.gz | test2.s | --btb 1 | - | ok | 19 5
test2.lat.trace.gz | test2.s | --add 2 --mul 3 --div 10 | - | ok | 13 5
test3.default.trace.gz | test3.s | (none) | - | ok | 14 8
test3.nofwd.trace.gz | test3.s | --forwarding 0 | - | ok | 14 8
test3.ds.trace.gz | test3.s | --delayslot 1 | - | ok | 14 8
test3.btb.trace.gz | test3.s | --btb 1 | - | ok | 14 8
test3.lat.trace.gz | test3.s | --add 2 --mul 3 --div 10 | - | ok | 13 8
test5.default.trace.gz | test5.s | (none) | - | ok | 9 5
test5.nofwd.trace.gz | test5.s | --forwarding 0 | - | ok | 11 5
test5.ds.trace.gz | test5.s | --delayslot 1 | - | ok | 9 5
test5.btb.trace.gz | test5.s | --btb 1 | - | ok | 9 5
test5.lat.trace.gz | test5.s | --add 2 --mul 3 --div 10 | - | ok | 9 5
test6.default.trace.gz | test6.s | (none) | - | ok | 33 4
test6.nofwd.trace.gz | test6.s | --forwarding 0 | - | ok | 35 4
test6.ds.trace.gz | test6.s | --delayslot 1 | - | ok | 33 4
test6.btb.trace.gz | test6.s | --btb 1 | - | ok | 33 4
test6.lat.trace.gz | test6.s | --add 2 --mul 3 --div 10 | - | ok | 18 4
third.default.trace.gz | third.s | (none) | - | ok | 24 17
third.nofwd.trace.gz | third.s | --forwarding 0 | - | ok | 24 17
third.ds.trace.gz | third.s | --delayslot 1 | - | ok | 24 17
third.btb.trace.gz | third.s | --btb 1 | - | ok | 24 17
third.lat.trace.gz | third.s | --add 2 --mul 3 --div 10 | - | ok | 22 17
unroll.default.trace.gz | unroll.s | (none) | - | err | -
unroll.nofwd.trace.gz | unroll.s | --forwarding 0 | - | err | -
unroll.ds.trace.gz | unroll.s | --delayslot 1 | - | err | -
unroll.btb.trace.gz | unroll.s | --btb 1 | - | err | -
unroll.lat.trace.gz | unroll.s | --add 2 --mul 3 --div 10 | - | err | -
war.default.trace.gz | war.s | (none) | - | ok | 16 4
war.nofwd.trace.gz | war.s | --forwarding 0 | - | ok | 18 4
war.ds.trace.gz | war.s | --delayslot 1 | - | ok | 16 4
war.btb.trace.gz | war.s | --btb 1 | - | ok | 16 4
war.lat.trace.gz | war.s | --add 2 --mul 3 --div 10 | - | ok | 10 4
